participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Chokdee`,expected_shift_required,<missing>,13,13,7,7,4.476302246827535,-1.520655126548276,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_zone_proxy,<missing>,13,13,7,7,4.476302246827535,-1.520655126548276,0.0,0.0,0.0,0.0,17860.384615384617,17860.384615384617,0.0,0.0
Chokdee`,expected_zone_proxy,center,296,214,15,15,5.135493373689082,-0.557630921489933,0.14189189189189189,0.016891891891891893,0.010135135135135136,0.0,14582.23831775701,14670.794392523365,0.014018691588785047,0.1822429906542056
Chokdee`,expected_zone_proxy,left,332,237,15,15,5.107979000730018,0.2617925188608091,0.14156626506024098,0.015060240963855422,0.0,0.0030120481927710845,17717.607594936708,17804.021097046414,0.008438818565400843,0.20253164556962025
Chokdee`,expected_zone_proxy,right,649,416,15,15,5.01787231234218,0.21391052590005014,0.17873651771956856,0.03697996918335902,0.0030816640986132513,0.01078582434514638,15953.870192307691,15982.079326923076,0.007211538461538462,0.18028846153846154
Chokdee`,expected_zone_proxy,space,25,19,8,8,5.352586330898316,-0.3423573491860132,0.12,0.0,0.0,0.0,20607.315789473683,20607.315789473683,0.0,0.2631578947368421
Chokdee`,layout_switch_needed,0,1182,855,15,15,5.08688517066321,-0.34455427626866636,0.13874788494077833,0.023688663282571912,0.0025380710659898475,0.005922165820642978,16427.276023391812,16485.94970760234,0.008187134502923977,0.19181286549707602
Chokdee`,layout_switch_needed,1,13,3,1,1,5.552281063301392,2.389173311153529,0.38461538461538464,0.0,0.15384615384615385,0.0,10333.666666666666,10333.666666666666,0.0,0.6666666666666666
Chokdee`,layout_switch_needed,<missing>,120,41,15,15,4.830690495823266,3.404672882830757,0.325,0.05,0.0,0.008333333333333333,12289.853658536585,12314.243902439024,0.024390243902439025,0.024390243902439025
Chokdee`,target_distance_bin,<missing>,180,79,15,15,5.120359868523408,2.5115298019178165,0.2777777777777778,0.03333333333333333,0.0,0.005555555555555556,16705.291139240508,16717.949367088608,0.012658227848101266,0.11392405063291139
Chokdee`,target_distance_bin,high,619,456,15,15,4.9532283319117285,0.16343612282423337,0.1308562197092084,0.022617124394184167,0.004846526655896607,0.009693053311793215,16358.33552631579,16449.212719298244,0.013157894736842105,0.19736842105263158
Chokdee`,target_distance_bin,low,259,182,15,15,5.163009542028058,-1.2180338392271413,0.15057915057915058,0.03861003861003861,0.0,0.003861003861003861,16187.104395604396,16187.104395604396,0.0,0.15934065934065933
Chokdee`,target_distance_bin,medium,257,182,15,15,5.21256108899916,-0.7992790489434037,0.14785992217898833,0.01556420233463035,0.007782101167315175,0.0,15687.0,15734.945054945056,0.005494505494505495,0.21428571428571427
DDDD,expected_char_class,<missing>,32,13,7,7,6.178913572372983,0.8620587017746445,0.3125,0.0,0.0,0.0,43221.0,43221.0,0.0,0.07692307692307693
DDDD,expected_char_class,arabic_numeral,7,5,2,2,6.7695431449534675,1.8916181820941855,0.14285714285714285,0.0,0.0,0.0,40329.0,40329.0,0.0,0.2
DDDD,expected_char_class,english_punctuation,3,3,1,1,7.368043663685971,3.988075230818874,0.0,0.0,0.0,0.0,14654.333333333334,14654.333333333334,0.0,0.0
DDDD,expected_char_class,thai_consonant,759,543,15,15,6.216928916596005,0.7775531216503806,0.1383399209486166,0.08432147562582346,0.0013175230566534915,0.0,40718.926335174954,40797.71270718232,0.01289134438305709,0.1252302025782689
DDDD,expected_char_class,thai_diacritic,17,7,5,5,6.446767493100691,1.5511091596787132,0.29411764705882354,0.17647058823529413,0.0,0.0,50751.71428571428,50751.71428571428,0.0,0.2857142857142857
DDDD,expected_char_class,thai_numeral,4,4,2,2,6.848188970731056,2.015702426982627,0.0,0.0,0.0,0.0,35846.0,35846.0,0.0,0.0
DDDD,expected_char_class,thai_tone_mark,127,57,14,14,6.022864075229051,0.35551330337680176,0.28346456692913385,0.11811023622047244,0.0,0.0,39880.85964912281,40089.12280701754,0.017543859649122806,0.19298245614035087
DDDD,expected_char_class,thai_vowel_mark,349,248,15,15,6.212201503920905,0.3828694105550752,0.1489971346704871,0.09742120343839542,0.0,0.0,40140.19758064516,40178.104838709674,0.004032258064516129,0.14919354838709678
DDDD,expected_char_class,whitespace,21,19,8,8,6.321532030832675,0.6959751655486659,0.047619047619047616,0.0,0.0,0.0,36796.89473684211,36796.89473684211,0.0,0.05263157894736842
DDDD,expected_hand_proxy,<missing>,32,13,7,7,6.178913572372983,0.8620587017746445,0.3125,0.0,0.0,0.0,43221.0,43221.0,0.0,0.07692307692307693
DDDD,expected_hand_proxy,left,335,237,15,15,6.34916401838358,1.1014772998520574,0.14626865671641792,0.08955223880597014,0.0029850746268656717,0.0,42166.27426160337,42205.94092827004,0.004219409282700422,0.1350210970464135
